鄉鎮市區,交易年月日,建物移轉總面積平方公尺,總價元,車位總價元,資料來源,縣市,房屋單價（元/平方公尺）
七堵區,1101231,211.06,12150000,1200000,成屋,基隆市,51880.981711361695
信義區,1101106,133.98,5150000,0,成屋,基隆市,38438.57292133154
仁愛區,1101109,92.79,5500000,0,成屋,基隆市,59273.62862377411
信義區,1101102,124.58,4300000,0,成屋,基隆市,34515.97367153636
安樂區,1101111,105.72,6000000,0,成屋,基隆市,56753.688989784336
安樂區,1101124,123.21,5500000,0,成屋,基隆市,44639.23382842302
七堵區,1101101,57.1,3075000,0,成屋,基隆市,53852.889667250434
七堵區,1101101,80.24,4360000,0,成屋,基隆市,54336.9890329013
中正區,1101118,116.82,4500000,0,成屋,基隆市,38520.80123266564
信義區,1101113,61.28,3500000,0,成屋,基隆市,57114.882506527414
安樂區,1101120,127.44,3000000,0,成屋,基隆市,23540.48964218456
暖暖區,1101104,98.58,3000000,0,成屋,基隆市,30432.136335970787
